Agency Name,Indicator Name,Period,Monthly Actual
MTA Bus,Total Ridership - MTA Bus,2012-12,9801961
MTA Bus,Total Ridership - MTA Bus,2012-11,9429395
MTA Bus,Total Ridership - MTA Bus,2012-10,9989731
MTA Bus,Total Ridership - MTA Bus,2012-09,9975745
MTA Bus,Total Ridership - MTA Bus,2012-08,9926419
MTA Bus,Total Ridership - MTA Bus,2012-07,9576499
MTA Bus,Total Ridership - MTA Bus,2012-06,10030937
MTA Bus,Total Ridership - MTA Bus,2012-05,10856590
MTA Bus,Total Ridership - MTA Bus,2012-04,9960123
MTA Bus,Total Ridership - MTA Bus,2012-03,10947264
MTA Bus,Total Ridership - MTA Bus,2012-02,9658843
MTA Bus,Total Ridership - MTA Bus,2012-01,9578127
MTA Bus,Total Ridership - MTA Bus,2011-12,9945047
MTA Bus,Total Ridership - MTA Bus,2011-11,10171405
MTA Bus,Total Ridership - MTA Bus,2011-10,10568181
MTA Bus,Total Ridership - MTA Bus,2011-09,10150490
MTA Bus,Total Ridership - MTA Bus,2011-08,9121097
MTA Bus,Total Ridership - MTA Bus,2011-07,9351729
MTA Bus,Total Ridership - MTA Bus,2011-06,10160289
MTA Bus,Total Ridership - MTA Bus,2011-05,10574867
MTA Bus,Total Ridership - MTA Bus,2011-04,9693037
MTA Bus,Total Ridership - MTA Bus,2011-03,10788808
MTA Bus,Total Ridership - MTA Bus,2011-02,8815925
MTA Bus,Total Ridership - MTA Bus,2011-01,8940417
MTA Bus,Total Ridership - MTA Bus,2010-12,8940417
MTA Bus,Total Ridership - MTA Bus,2010-11,10210097
MTA Bus,Total Ridership - MTA Bus,2010-10,10764060
MTA Bus,Total Ridership - MTA Bus,2010-09,10223335
MTA Bus,Total Ridership - MTA Bus,2010-08,9597962
MTA Bus,Total Ridership - MTA Bus,2010-07,9708553
MTA Bus,Total Ridership - MTA Bus,2010-06,11482642
MTA Bus,Total Ridership - MTA Bus,2010-05,10268999
MTA Bus,Total Ridership - MTA Bus,2010-04,10274944
MTA Bus,Total Ridership - MTA Bus,2010-03,10631985
MTA Bus,Total Ridership - MTA Bus,2010-02,8458189
MTA Bus,Total Ridership - MTA Bus,2010-01,9172447
MTA Bus,Total Ridership - MTA Bus,2009-12,9896486
MTA Bus,Total Ridership - MTA Bus,2009-11,10042575
MTA Bus,Total Ridership - MTA Bus,2009-10,10964658
MTA Bus,Total Ridership - MTA Bus,2009-09,10252638
MTA Bus,Total Ridership - MTA Bus,2009-08,9220512
MTA Bus,Total Ridership - MTA Bus,2009-07,9667200
MTA Bus,Total Ridership - MTA Bus,2009-06,10165530
MTA Bus,Total Ridership - MTA Bus,2009-05,10343294
MTA Bus,Total Ridership - MTA Bus,2009-04,10128848
MTA Bus,Total Ridership - MTA Bus,2009-03,10658594
MTA Bus,Total Ridership - MTA Bus,2009-02,9213013
MTA Bus,Total Ridership - MTA Bus,2009-01,9439157
MTA Bus,Total Ridership - MTA Bus,2008-12,10014576
MTA Bus,Total Ridership - MTA Bus,2008-11,9673322
MTA Bus,Total Ridership - MTA Bus,2008-10,11242147
MTA Bus,Total Ridership - MTA Bus,2008-09,10798069
MTA Bus,Total Ridership - MTA Bus,2008-08,9651741
MTA Bus,Total Ridership - MTA Bus,2008-07,10090794
MTA Bus,Total Ridership - MTA Bus,2008-06,10070315
MTA Bus,Total Ridership - MTA Bus,2008-05,10491142
MTA Bus,Total Ridership - MTA Bus,2008-04,10234615
MTA Bus,Total Ridership - MTA Bus,2008-03,10145256
MTA Bus,Total Ridership - MTA Bus,2008-02,9087705
MTA Bus,Total Ridership - MTA Bus,2008-01,9528068
NYC Transit,Total Ridership - NYCT Bus,2018-07,46072347
NYC Transit,Total Ridership - NYCT Bus,2018-06,47613640
NYC Transit,Total Ridership - NYCT Bus,2018-05,51833282
NYC Transit,Total Ridership - NYCT Bus,2018-04,48618792
NYC Transit,Total Ridership - NYCT Bus,2018-03,49761212
NYC Transit,Total Ridership - NYCT Bus,2018-02,44686764
NYC Transit,Total Ridership - NYCT Bus,2018-01,45323007
NYC Transit,Total Ridership - NYCT Bus,2017-12,46440136
NYC Transit,Total Ridership - NYCT Bus,2017-11,49790212
NYC Transit,Total Ridership - NYCT Bus,2017-10,54167068
NYC Transit,Total Ridership - NYCT Bus,2017-09,50399666
NYC Transit,Total Ridership - NYCT Bus,2017-08,48720905
NYC Transit,Total Ridership - NYCT Bus,2017-07,47820447
NYC Transit,Total Ridership - NYCT Bus,2017-06,51235902
NYC Transit,Total Ridership - NYCT Bus,2017-05,54521405
NYC Transit,Total Ridership - NYCT Bus,2017-04,49647496
NYC Transit,Total Ridership - NYCT Bus,2017-03,53491942
NYC Transit,Total Ridership - NYCT Bus,2017-02,46731666
NYC Transit,Total Ridership - NYCT Bus,2017-01,49629065
NYC Transit,Total Ridership - NYCT Bus,2016-12,50830973
NYC Transit,Total Ridership - NYCT Bus,2016-11,52389723
NYC Transit,Total Ridership - NYCT Bus,2016-10,54558371
NYC Transit,Total Ridership - NYCT Bus,2016-09,54848336
NYC Transit,Total Ridership - NYCT Bus,2016-08,52055737
NYC Transit,Total Ridership - NYCT Bus,2016-07,50453231
NYC Transit,Total Ridership - NYCT Bus,2016-06,54222089
NYC Transit,Total Ridership - NYCT Bus,2016-05,56608696
NYC Transit,Total Ridership - NYCT Bus,2016-04,54318126
NYC Transit,Total Ridership - NYCT Bus,2016-03,58720672
NYC Transit,Total Ridership - NYCT Bus,2016-02,50327673
NYC Transit,Total Ridership - NYCT Bus,2016-01,49049885
NYC Transit,Total Ridership - NYCT Bus,2015-12,58610335
NYC Transit,Total Ridership - NYCT Bus,2015-11,52985130
NYC Transit,Total Ridership - NYCT Bus,2015-10,58449039
NYC Transit,Total Ridership - NYCT Bus,2015-09,54392233
NYC Transit,Total Ridership - NYCT Bus,2015-08,51054063
NYC Transit,Total Ridership - NYCT Bus,2015-07,53374702
NYC Transit,Total Ridership - NYCT Bus,2015-06,54947346
NYC Transit,Total Ridership - NYCT Bus,2015-05,57124900
NYC Transit,Total Ridership - NYCT Bus,2015-04,55191877
NYC Transit,Total Ridership - NYCT Bus,2015-03,57323440
NYC Transit,Total Ridership - NYCT Bus,2015-02,47545151
NYC Transit,Total Ridership - NYCT Bus,2015-01,49654222
NYC Transit,Total Ridership - NYCT Bus,2014-12,54329963
NYC Transit,Total Ridership - NYCT Bus,2014-11,53196372
NYC Transit,Total Ridership - NYCT Bus,2014-10,62068673
NYC Transit,Total Ridership - NYCT Bus,2014-09,58388972
NYC Transit,Total Ridership - NYCT Bus,2014-08,52351543
